_id,popularity,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence,_class,spotUrl,ytUrl._id,ytUrl.LinkName,ytUrl.type,ytUrl.url,dlink._id,dlink.LinkName,dlink.type,dlink.url,lyric._id,lyric.LinkName,lyric.type,lyric.url,artInfo._id,artInfo.LinkName,artInfo.type,artInfo.url,albInfo._id,albInfo.LinkName,albInfo.type,albInfo.url
Don't Start Now,84,183290,0.012299999594688416,0.7929999828338623,0.7929999828338623,0,11,0.09510000050067902,-4.520999908447266,0,0.08299999684095383,123.94999694824219,4,0.6790000200271606,dev.eshanM.Musik.Song,64e076c3aea7d56b2f153a3d,64e076c3aea7d56b2f153a3e,Youtube,yt,null,64e076c3aea7d56b2f153a3f,Download : 9x,dlink,null,64e076c3aea7d56b2f153a40,Lyrics : Genius,lyric,null,64e076c3aea7d56b2f153a41,Dua Lipa,artInfo,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,64e076c3aea7d56b2f153a42,Future Nostalgia,albInfo,https://open.spotify.com/album/7fJJK56U9fHixgO0HQkhtI
Lucid Dreams,0,239947,0.37700000405311584,0.43700000643730164,0.48100000619888306,0,11,0.33000001311302185,-9.680999755859375,0,0.2370000034570694,83.60600280761719,4,0.2160000056028366,dev.eshanM.Musik.Song,64e09c8baea7d56b2f1553e1,64e09c8baea7d56b2f1553e2,Youtube,yt,null,64e09c8baea7d56b2f1553e3,Download : 9x,dlink,null,64e09c8baea7d56b2f1553e4,Lyrics : Genius,lyric,null,64e09c8baea7d56b2f1553e5,Juice WRLD,artInfo,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,64e09c8baea7d56b2f1553e6,Lucid Dreams,albInfo,https://open.spotify.com/album/0nelyamSDy2XwukAEGcwJT
Sweater Weather,91,240400,0.0494999997317791,0.6119999885559082,0.8069999814033508,0.01769999973475933,10,0.10100000351667404,-2.809999942779541,1,0.03359999880194664,124.0530014038086,4,0.39800000190734863,dev.eshanM.Musik.Song,64e076c6aea7d56b2f153a49,64e076c6aea7d56b2f153a4a,Youtube,yt,null,64e076c6aea7d56b2f153a4b,Download : 9x,dlink,null,64e076c7aea7d56b2f153a4c,Lyrics : Genius,lyric,null,64e076c7aea7d56b2f153a4d,The Neighbourhood,artInfo,https://open.spotify.com/artist/77SW9BnxLY8rJ0RciFqkHh,64e076c7aea7d56b2f153a4e,I Love You.,albInfo,https://open.spotify.com/album/4xkM0BwLM9H2IUcbYzpcBI
Thinking out Loud,85,281560,0.4740000069141388,0.781000018119812,0.4449999928474426,0,2,0.18400000035762787,-6.060999870300293,1,0.029500000178813934,78.99800109863281,4,0.5910000205039978,dev.eshanM.Musik.Song,64e092f4aea7d56b2f154181,64e092f4aea7d56b2f154182,Youtube,yt,null,64e092f4aea7d56b2f154183,Download : 9x,dlink,null,64e092f4aea7d56b2f154184,Lyrics : Genius,lyric,null,64e092f5aea7d56b2f154185,Ed Sheeran,artInfo,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,64e092f5aea7d56b2f154186,x (Deluxe Edition),albInfo,https://open.spotify.com/album/1xn54DMo2qIqBuMqHtUsFd
God's Plan,25,198960,0.028300000354647636,0.7549999952316284,0.4480000138282776,0.00003279999873484485,7,0.5139999985694885,-9.586999893188477,1,0.10700000077486038,77.17900085449219,4,0.3179999887943268,dev.eshanM.Musik.Song,64e092f6aea7d56b2f154187,64e092f6aea7d56b2f154188,Youtube,yt,null,64e092f6aea7d56b2f154189,Download : 9x,dlink,null,64e092f6aea7d56b2f15418a,Lyrics : Genius,lyric,null,64e092f7aea7d56b2f15418b,Drake,artInfo,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,64e092f7aea7d56b2f15418c,Scary Hours,albInfo,https://open.spotify.com/album/2YDNDwQvsU0njt7Kq0xNRY
Photograph,87,258987,0.6069999933242798,0.6140000224113464,0.3790000081062317,0.00046400001156143844,4,0.09860000014305115,-10.479999542236328,1,0.047600001096725464,107.98899841308594,4,0.20100000500679016,dev.eshanM.Musik.Song,64e0930daea7d56b2f1541bd,64e0930daea7d56b2f1541be,Youtube,yt,null,64e0930daea7d56b2f1541bf,Download : 9x,dlink,null,64e0930eaea7d56b2f1541c0,Lyrics : Genius,lyric,null,64e0930eaea7d56b2f1541c1,Ed Sheeran,artInfo,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,64e0930eaea7d56b2f1541c2,x (Deluxe Edition),albInfo,https://open.spotify.com/album/1xn54DMo2qIqBuMqHtUsFd
Something Just Like This,88,247160,0.049800001084804535,0.6169999837875366,0.6349999904632568,0.000014399999599845614,11,0.164000004529953,-6.769000053405762,0,0.031700000166893005,103.01899719238281,4,0.44600000977516174,dev.eshanM.Musik.Song,64e0931faea7d56b2f1541ed,64e0931faea7d56b2f1541ee,Youtube,yt,null,64e0931faea7d56b2f1541ef,Download : 9x,dlink,null,64e0931faea7d56b2f1541f0,Lyrics : Genius,lyric,null,64e09320aea7d56b2f1541f1,The Chainsmokers,artInfo,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,64e09320aea7d56b2f1541f2,Memories...Do Not Open,albInfo,https://open.spotify.com/album/4JPguzRps3kuWDD5GS6oXr
Bohemian Rhapsody - Remastered 2011,83,354320,0.2709999978542328,0.414000004529953,0.40400001406669617,0,0,0.30000001192092896,-9.928000450134277,0,0.04989999905228615,71.1050033569336,4,0.2240000069141388,dev.eshanM.Musik.Song,64e0933caea7d56b2f15423b,64e0933caea7d56b2f15423c,Youtube,yt,null,64e0933daea7d56b2f15423d,Download : 9x,dlink,null,64e0933daea7d56b2f15423e,Lyrics : Genius,lyric,null,64e0933daea7d56b2f15423f,Queen,artInfo,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,64e0933daea7d56b2f154240,A Night At The Opera (2011 Remaster),albInfo,https://open.spotify.com/album/1GbtB4zTqAsyfZEsm1RZfx
Shallow,86,215733,0.3709999918937683,0.5720000267028809,0.38499999046325684,0,7,0.23100000619888306,-6.361999988555908,1,0.030799999833106995,95.79900360107422,4,0.3230000138282776,dev.eshanM.Musik.Song,64e094bbaea7d56b2f1544cf,64e094bbaea7d56b2f1544d0,Youtube,yt,null,64e094bbaea7d56b2f1544d1,Download : 9x,dlink,null,64e094bcaea7d56b2f1544d2,Lyrics : Genius,lyric,null,64e094bcaea7d56b2f1544d3,Lady Gaga,artInfo,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,64e094bcaea7d56b2f1544d4,A Star Is Born Soundtrack,albInfo,https://open.spotify.com/album/4sLtOBOzn4s3GDUv3c5oJD
Take Me To Church,85,241688,0.6340000033378601,0.5659999847412109,0.6639999747276306,0,4,0.11599999666213989,-5.302999973297119,0,0.04639999940991402,128.94500732421875,4,0.43700000643730164,dev.eshanM.Musik.Song,64e09344aea7d56b2f154253,64e09344aea7d56b2f154254,Youtube,yt,null,64e09344aea7d56b2f154255,Download : 9x,dlink,null,64e09344aea7d56b2f154256,Lyrics : Genius,lyric,null,64e09344aea7d56b2f154257,Hozier,artInfo,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,64e09344aea7d56b2f154258,Hozier,albInfo,https://open.spotify.com/album/0Uv83rRhY5QvHKkQoULRKk
